nhlRank;name;team;last_team;position;games;nhl_goals;nhl_assists;nhl_points;goals;assists;points;salary;pool_rank;drafted;age;draft_pick;draft_year;year_left_contract;dff;reldff;g60;p60
noNhlRank;Igor Shesterkin;NYR;NA;G;61;27;6;0;81;30;111;11500000;noPoolRank;no;29;118;2014;7;0;0;0;0
noNhlRank;Carey Price;SJS;NA;G;0;0;0;0;0;0;0;10500000;noPoolRank;no;38;5;2005;0;0;0;0;0
noNhlRank;Sergei Bobrovsky;FLA;NA;G;54;33;5;0;99;25;124;10000000;noPoolRank;no;37;0;0;0;0;0;0;0
noNhlRank;Andrei Vasilevskiy;TBL;NA;G;63;38;6;0;114;30;144;9500000;noPoolRank;no;31;19;2012;2;0;0;0;0
noNhlRank;Connor Hellebuyck;WPG;NA;G;63;47;8;0;141;40;181;8500000;noPoolRank;no;32;130;2012;5;0;0;0;0
noNhlRank;Linus Ullmark;OTT;NA;G;44;25;4;0;75;20;95;8250000;noPoolRank;no;32;163;2012;3;0;0;0;0
noNhlRank;Jeremy Swayman;BOS;NA;G;58;22;4;0;66;20;86;8250000;noPoolRank;no;26;111;2017;6;0;0;0;0
noNhlRank;Ilya Sorokin;NYI;NA;G;61;30;4;0;90;20;110;8250000;noPoolRank;no;30;78;2014;6;0;0;0;0
noNhlRank;Jake Oettinger;DAL;NA;G;58;36;2;0;108;10;118;8250000;noPoolRank;no;26;26;2017;7;0;0;0;0
noNhlRank;Juuse Saros;NAS;NA;G;58;20;4;0;60;20;80;7740000;noPoolRank;no;30;99;2013;7;0;0;0;0
noNhlRank;Lukas Dostal;ANA;NA;G;54;23;1;0;69;5;74;6500000;noPoolRank;no;25;85;2018;4;0;0;0;0
noNhlRank;John Gibson;DET;NA;G;29;11;0;0;33;0;33;6400000;noPoolRank;no;32;39;2011;1;0;0;0;0
noNhlRank;Adin Hill;VGK;NA;G;50;32;4;0;96;20;116;6250000;noPoolRank;no;29;76;2015;5;0;0;0;0
noNhlRank;Jacob Markstrom;NJD;NA;G;49;26;4;0;78;20;98;6000000;noPoolRank;no;35;31;2008;0;0;0;0;0
noNhlRank;Jordan Binnington;STL;NA;G;56;28;3;0;84;15;99;6000000;noPoolRank;no;32;88;2011;1;0;0;0;0
noNhlRank;Philipp Grubauer;SEA;NA;G;26;8;0;0;24;0;24;5900000;noPoolRank;no;33;112;2010;1;0;0;0;0
noNhlRank;Logan Thompson;WAS;NA;G;43;31;2;0;93;10;103;5850000;noPoolRank;no;28;0;0;5;0;0;0;0
noNhlRank;Elvis Merzlikins;CLB;NA;G;53;26;1;0;78;5;83;5400000;noPoolRank;no;31;76;2014;1;0;0;0;0
noNhlRank;Tristan Jarry;PIT;NA;G;36;16;2;0;48;10;58;5375000;noPoolRank;no;30;44;2013;2;0;0;0;0
noNhlRank;Darcy Kuemper;LAK;NA;G;50;31;5;0;93;25;118;5250000;noPoolRank;no;35;161;2009;1;0;0;0;0
noNhlRank;MacKenzie Blackwood;COL;NA;G;56;28;4;0;84;20;104;5250000;noPoolRank;no;28;42;2015;4;0;0;0;0
noNhlRank;Thatcher Demko;VAN;NA;G;23;10;1;0;30;5;35;5000000;noPoolRank;no;29;36;2014;0;0;0;0;0
noNhlRank;Joey Daccord;SEA;NA;G;57;27;2;0;81;10;91;5000000;noPoolRank;no;29;199;2015;4;0;0;0;0
noNhlRank;Karel Vejmelka;UTA;NA;G;58;26;1;0;78;5;83;4750000;noPoolRank;no;29;145;2015;4;0;0;0;0
noNhlRank;Ukko-Pekka Luukkonen;BUF;NA;G;55;24;2;0;72;10;82;4750000;noPoolRank;no;26;54;2017;3;0;0;0;0
noNhlRank;Kevin Lankinen;VAN;NA;G;51;25;4;0;75;20;95;4500000;noPoolRank;no;30;0;0;4;0;0;0;0
noNhlRank;Spencer Knight;CHI;NA;G;38;17;2;0;51;10;61;4500000;noPoolRank;no;24;13;2019;0;0;0;0;0
noNhlRank;Petr Mrazek;ANA;NA;G;38;12;1;0;36;5;41;4250000;noPoolRank;no;33;141;2010;0;0;0;0;0
noNhlRank;Joonas Korpisalo;BOS;NA;G;27;11;3;0;33;15;48;4000000;noPoolRank;no;31;62;2012;2;0;0;0;0
noNhlRank;Filip Gustavsson;MIN;NA;G;58;31;5;0;93;25;118;3750000;noPoolRank;no;27;55;2016;0;0;0;0;0
noNhlRank;Joseph Woll;TOR;NA;G;42;27;1;0;81;5;86;3666667;noPoolRank;no;27;62;2016;2;0;0;0;0
noNhlRank;Joel Hofer;STL;NA;G;31;16;1;0;48;5;53;3400000;noPoolRank;no;25;107;2018;1;0;0;0;0
noNhlRank;Dan Vladar;PHI;NA;G;30;12;2;0;36;10;46;3350000;noPoolRank;no;28;75;2015;1;0;0;0;0
noNhlRank;Laurent Brossoit;CHI;NA;G;0;0;0;0;0;0;0;3300000;noPoolRank;no;32;163;2011;0;0;0;0;0
noNhlRank;Sam Montembeault;MTL;NA;G;62;31;4;0;93;20;113;3150000;noPoolRank;no;28;77;2015;1;0;0;0;0
noNhlRank;Charlie Lindgren;WAS;NA;G;39;20;1;0;60;5;65;3000000;noPoolRank;no;31;0;0;2;0;0;0;0
noNhlRank;Frederik Andersen;CAR;NA;G;22;13;1;0;39;5;44;2750000;noPoolRank;no;36;87;2012;0;0;0;0;0
noNhlRank;Arvid Soderblom;CHI;NA;G;36;10;0;0;30;0;30;2750000;noPoolRank;no;26;0;0;1;0;0;0;0
noNhlRank;Semyon Varlamov;NYI;NA;G;10;3;0;0;9;0;9;2750000;noPoolRank;no;37;23;2006;1;0;0;0;0
noNhlRank;Stuart Skinner;EDM;NA;G;51;26;3;0;78;15;93;2600000;noPoolRank;no;26;78;2017;0;0;0;0;0
noNhlRank;Alex Nedeljkovic;SJS;NA;G;38;14;1;0;42;5;47;2500000;noPoolRank;no;29;37;2014;0;0;0;0;0
noNhlRank;Anthony Stolarz;TOR;NA;G;34;21;4;0;63;20;83;2500000;noPoolRank;no;31;45;2012;0;0;0;0;0
noNhlRank;Cam Talbot;DET;NA;G;47;21;2;0;63;10;73;2500000;noPoolRank;no;38;0;0;0;0;0;0;0
noNhlRank;Anton Forsberg;LAK;NA;G;30;11;3;0;33;15;48;2250000;noPoolRank;no;32;187;2011;1;0;0;0;0
noNhlRank;Jesper Wallstedt;MIN;NA;G;2;0;0;0;0;0;0;2200000;noPoolRank;no;22;20;2021;1;0;0;0;0
noNhlRank;Pyotr Kochetkov;CAR;NA;G;47;27;2;0;81;10;91;2000000;noPoolRank;no;26;36;2019;1;0;0;0;0
noNhlRank;Yaroslav Askarov;SJS;NA;G;13;4;0;0;12;0;12;2000000;noPoolRank;no;23;11;2020;1;0;0;0;0
noNhlRank;Jake Allen;NJD;NA;G;31;13;4;0;39;20;59;1800000;noPoolRank;no;35;34;2008;4;0;0;0;0
noNhlRank;Jonathan Quick;NYR;NA;G;24;11;3;0;33;15;48;1550000;noPoolRank;no;39;72;2005;0;0;0;0;0
noNhlRank;Scott Wedgewood;COL;NA;G;24;14;2;0;42;10;52;1500000;noPoolRank;no;33;84;2010;0;0;0;0;0
noNhlRank;Alex Lyon;BUF;NA;G;30;14;1;0;42;5;47;1500000;noPoolRank;no;32;0;0;1;0;0;0;0
noNhlRank;Vitek Vanecek;UTA;NA;G;25;5;1;0;15;5;20;1500000;noPoolRank;no;29;39;2014;0;0;0;0;0
noNhlRank;Samuel Ersson;PHI;NA;G;47;22;2;0;66;10;76;1450000;noPoolRank;no;25;143;2018;0;0;0;0;0
noNhlRank;Jonas Johansson;TBL;NA;G;19;9;1;0;27;5;32;1250000;noPoolRank;no;30;61;2014;1;0;0;0;0
noNhlRank;Leevi Merilainen;OTT;NA;G;12;8;3;0;24;15;39;1050000;noPoolRank;no;23;71;2020;0;0;0;0;0
noNhlRank;Daniil Tarasov;FLA;NA;G;20;7;1;0;21;5;26;1050000;noPoolRank;no;26;86;2017;0;0;0;0;0
noNhlRank;Casey DeSmith;DAL;NA;G;27;14;2;0;42;10;52;1000000;noPoolRank;no;34;0;0;1;0;0;0;0
noNhlRank;Matt Murray;SEA;NA;G;2;1;0;0;3;0;3;1000000;noPoolRank;no;31;83;2012;0;0;0;0;0
noNhlRank;Calvin Pickard;EDM;NA;G;36;22;0;0;66;0;66;1000000;noPoolRank;no;33;49;2010;0;0;0;0;0
noNhlRank;David Rittich;NYI;NA;G;34;16;0;0;48;0;48;1000000;noPoolRank;no;33;0;0;0;0;0;0;0
noNhlRank;Jakub Dobes;MTL;NA;G;16;7;1;0;21;5;26;965000;noPoolRank;no;24;136;2020;1;0;0;0;0
noNhlRank;Akira Schmid;VGK;NA;G;5;2;0;0;6;0;6;875000;noPoolRank;no;25;136;2018;0;0;0;0;0
noNhlRank;Arturs Silovs;PIT;NA;G;10;2;0;0;6;0;6;850000;noPoolRank;no;24;156;2019;0;0;0;0;0
noNhlRank;Dustin Wolf;CGY;NA;G;53;29;3;0;87;15;102;850000;noPoolRank;no;24;214;2019;0;0;0;0;0
noNhlRank;Justus Annunen;NAS;NA;G;34;15;0;0;45;0;45;837500;noPoolRank;no;25;64;2018;0;0;0;0;0
noNhlRank;Eric Comrie;WPG;NA;G;20;9;2;0;27;10;37;825000;noPoolRank;no;30;59;2013;0;0;0;0;0
noNhlRank;Jet Greaves;CLB;NA;G;11;7;2;0;21;10;31;812500;noPoolRank;no;24;0;0;0;0;0;0;0
noNhlRank;Nico Daws;NJD;NA;G;6;3;1;0;9;5;14;812500;noPoolRank;no;24;84;2020;0;0;0;0;0
noNhlRank;Brandon Bussi;CAR;NA;G;0;0;0;0;0;0;0;775000;noPoolRank;no;27;0;0;0;0;0;0;0
noNhlRank;Devin Cooley;CGY;NA;G;0;0;0;0;0;0;0;775000;noPoolRank;no;28;0;0;0;0;0;0;0
noNhlRank;Trent Miner;COL;NA;G;2;0;0;0;0;0;0;775000;noPoolRank;no;24;202;2019;1;0;0;0;0
noNhlRank;Colten Ellis;BUF;NA;G;0;0;0;0;0;0;0;775000;noPoolRank;no;25;93;2019;1;0;0;0;0
noNhlRank;Pheonix Copley;LAK;NA;G;1;0;0;0;0;0;0;775000;noPoolRank;no;33;0;0;0;0;0;0;0
noNhlRank;Cayden Primeau;TOR;NA;G;11;2;0;0;6;0;6;775000;noPoolRank;no;26;199;2017;0;0;0;0;0
